sau_name,mean_lat_geo_name,gdp_Country,factory_country,fishing_entity_id,is_currently_used_for_web,is_currently_used_for_reconstruction
Alaska (USA),Alaska (USA),,,200,TRUE,FALSE
Albania,Albania,Albania,,1,TRUE,TRUE
Algeria,Algeria,Algeria,,2,TRUE,TRUE
American Samoa,American Samoa (USA),American Samoa,,3,TRUE,TRUE
Angola,Angola,Angola,,4,TRUE,TRUE
Anguilla (UK),Anguilla (UK),,,151,TRUE,TRUE
Antigua & Barbuda,Antigua & Barbuda,Antigua and Barbuda,,5,TRUE,TRUE
Argentina,Argentina,Argentina,Argentina,6,TRUE,TRUE
Aruba (Netherlands),Aruba (Netherlands),Aruba,,120,TRUE,TRUE
Ascension Isl. (UK),Ascension Isl. (UK),,,219,FALSE,TRUE
Australia,Australia,Australia,Australia,7,TRUE,TRUE
Azores Isl. (Portugal),Azores Isl. (Portugal),,,218,FALSE,TRUE
Bahamas,Bahamas,"Bahamas, The",,8,TRUE,TRUE
Bahrain,Bahrain,Bahrain,,9,TRUE,TRUE
Bangladesh,Bangladesh,Bangladesh,,10,TRUE,TRUE
Barbados,Barbados,Barbados,,11,TRUE,TRUE
Belgium,Belgium,Belgium,,12,TRUE,TRUE
Belize,Belize,Belize,,16,TRUE,TRUE
Benin,Benin,Benin,,45,TRUE,TRUE
Bermuda (UK),Bermuda (UK),Bermuda,,13,TRUE,TRUE
Bonaire (Netherlands),Bonaire (Netherlands),,,222,FALSE,TRUE
Bosnia & Herzegovina,Bosnia & Herzegovina,Bosnia and Herzegovina,,14,TRUE,TRUE
Brazil,Brazil,Brazil,Brazil,15,TRUE,TRUE
Brit. Indian Ocean Terr. (UK),Brit. Indian Ocean Terr. (UK),,,17,TRUE,TRUE
British Virgin Isl. (UK),Virgin Isl. (UK),British Virgin Islands,,19,TRUE,TRUE
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,,20,TRUE,TRUE
Bulgaria,Bulgaria,Bulgaria,,21,TRUE,TRUE
Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,,89,TRUE,TRUE
Cambodia,Cambodia,Cambodia,,24,TRUE,TRUE
Cameroon,Cameroon,Cameroon,,25,TRUE,TRUE
Canada,Canada,Canada,Canada,26,TRUE,TRUE
Cape Verde,Cape Verde,,,27,TRUE,TRUE
Cayman Isl. (UK),Cayman Isl. (UK),Cayman Islands,,28,TRUE,TRUE
Channel Isl. (UK),Channel Isl. (UK),Channel Islands,,184,TRUE,TRUE
Chile,Chile,Chile,Chile,30,TRUE,TRUE
China,China,China,China,31,TRUE,TRUE
Christmas Isl. (Australia),Christmas Isl. (Australia),,,33,FALSE,TRUE
Cocos (Keeling) Isl. (Australia),Cocos (Keeling) Isl. (Australia),,,34,FALSE,TRUE
Colombia,Colombia,Colombia,,35,TRUE,TRUE
Comoros,Comoros,Comoros,,36,TRUE,TRUE
